GeneSymbol,17-002,17-003,17-004
znf470,0.719986657,,
znf471,0.73611787,,
znf473,0.868733524,,
znf474,0.549411753,,
znf479,0.620692114,,
znf48,0.610220725,,
znf480,0.515181202,,
znf483,0.933513687,,
znf484,0.494804198,,
znf485,0.514894033,,
znf486,0.902829151,,
znf487,0.515222218,,
znf488,0.469328316,,
znf490,0.463680954,,
znf491,0.491781876,,
znf492,0.506150061,,
znf493,0.142712337,,
znf496,0.688288822,,
znf497,0.695271476,,
znf498,0.511811444,,
znf500,0.88370819,,
znf501,0.604683183,,
znf502,0.377307038,,
znf503,0.921540026,,
znf506,0.683551497,,
znf507,0.594497713,,
znf509,0.226075584,,
znf510,0.582226747,,
znf511,0.839055548,,
znf512,0.317270169,,
znf512b,0.727743675,,
znf513,0.442458526,,
znf514,0.443197431,,
znf516,0.78903925,,
znf517,0.498990642,,
znf518a,0.57806689,,
znf518b,0.554515887,,
znf519,0.727548018,,
znf521,0.600920213,,
znf524,0.319228565,,
znf525,0.562717097,,
znf526,0.796918781,,
znf527,0.346129202,,
znf528,0.581792858,,
znf529,0.094160319,,
znf530,0.616771801,,
znf532,0.502006009,,
znf533,0.688884031,,
znf534,0.627815629,,
znf536,0.691499443,,
znf540,0.500962938,,
znf541,0.444513391,,
znf542,0.626778581,,
znf543,0.559475293,,
znf544,0.671347799,,
znf546,0.697792344,,
znf547,0.646638664,,
znf548,0.613041188,,
znf549,0.932581582,,
znf550,0.344220027,,
znf551,0.541620661,,
znf552,0.631841096,,
znf554,0.612511938,,
znf555,0.446213973,,
znf556,0.640264172,,
znf557,0.909201203,,
znf558,0.329341592,,
znf559,0.234143355,,
znf560,0.706920283,,
znf561,0.422298074,,
znf562,0.796199925,,
znf563,0.312300581,,
znf564,0.645728237,,
znf565,0.090669081,,
znf566,0.430988106,,
znf567,0.653260023,,
znf568,0.664687713,,
znf569,0.565076395,,
znf57,0.554792275,,
znf570,0.5672678,,
znf571,0.315080863,,
znf572,0.690206026,,
znf573,0.836296442,,
znf574,0.598192944,,
znf575,0.429748857,,
znf576,0.748843429,,
znf577,0.94102491,,
znf578,0.495462216,,
znf579,0.671109673,,
znf580,0.476254353,,
znf581,0.755621037,,
znf582,0.582763423,,
znf583,0.505753912,,
znf584,0.483743229,,
znf585a,0.879657459,,
znf585b,0.509300718,,
znf586,0.158552333,,
znf587,0.59193809,,
znf589,0.191588405,,
znf592,0.64952142,,
znf593,0.68317487,,
znf594,0.406828388,,
znf595,0.35664409,,
znf596,0.359196515,,
znf597,0.32937433,,
znf598,0.819449362,,
znf599,0.561529709,,
znf600,0.746550278,,
znf605,0.715627136,,
znf606,0.682080109,,
znf607,0.632149,,
znf608,0.434753897,,
znf609,0.509207434,,
znf610,0.363977053,,
znf611,0.505788222,,
znf613,0.33158547,,
znf614,0.289603008,,
znf615,0.677539119,,
znf616,0.606496303,,
znf618,0.488515604,,
znf619,0.527659609,,
znf620,0.702544198,,
znf621,0.29177035,,
znf622,0.115346567,,
znf623,0.570280654,,
znf624,0.610405162,,
znf625,0.609763251,,
znf626,0.947724467,,
znf627,0.655241494,,
znf628,0.569541718,,
znf629,0.403221679,,
znf630,0.409051276,,
znf638,0.781980041,,
znf639,0.3087772,,
znf641,0.467755802,,
znf642,0.500529293,,
znf643,0.489099098,,
znf644,0.910738791,,
znf645,0.503754978,,
znf646,0.494902703,,
znf648,0.630075309,,
znf649,0.619772213,,
znf650,0.18320832,,
znf652,0.904864286,,
znf653,0.710495397,,
znf654,0.824362157,,
znf655,0.893217497,,
znf658,0.644125387,,
znf658b,0.413412185,,
znf66,0.654334428,,
znf660,0.534597267,,
znf662,0.623712056,,
znf663,0.572772904,,
znf664,0.53377138,,
znf665,0.4379685,,
znf667,0.695296794,,
znf668,0.347590006,,
znf669,0.739788185,,
znf670,0.654642023,,
znf671,0.359004272,,
znf672,0.569254633,,
znf673,0.32340731,,
znf674,0.013751355,,
znf675,0.673111116,,
znf676,0.812842929,,
znf677,0.662211618,,
znf678,0.686889935,,
znf679,0.495399625,,
znf680,0.435405936,,
znf681,0.507135424,,
znf682,0.934494799,,
znf683,0.556367602,,
znf684,0.631793292,,
znf687,0.259856013,,
znf688,0.813645246,,
znf689,0.748621879,,
znf69,0.937044909,,
znf691,0.471345425,,
znf692,0.409351645,,
znf695,0.79284164,,
znf696,0.479334853,,
znf697,0.500667722,,
znf699,0.772519232,,
znf7,0.457608524,,
znf70,0.607514531,,
znf700,0.18592914,,
znf701,0.345651364,,
znf702p,0.614765944,,
znf703,0.692184778,,
znf704,0.625477115,,
znf705a,0.546084071,,
znf705d,0.36445489,,
znf706,0.491224168,,
znf707,4.48E-77,,
znf708,0.631058552,,
znf709,0.663522625,,
znf71,0.459760629,,
znf710,0.650269697,,
znf711,0.407951585,,
znf713,0.273249683,,
znf714,0.601518501,,
znf716,0.781985725,,
znf717,0.579212867,,
znf718,0.496707025,,
znf720,0.431834408,,
znf721,0.648576305,,
znf728,0.512899846,,
znf738,0.848558579,,
znf74,0.56752614,,
znf740,0.355394319,,
znf746,0.407320844,,
znf747,0.317420464,,
znf749,0.550411728,,
znf750,0.610713858,,
znf75a,0.03273424,,
znf75d,0.424501064,,
